Beer,Rating,Review_Count,Style_1,Brewery,ABV%,IBU,Description
Konkey Dong,4.23469387755102,54,IPA,Hoof Hearted Brewing,8.0,70,"Barrel fermented in Donkey Kong barrels and excessively dry hopped with Galaxy, Simcoe, and Dr. Rudi Hops from New Zealand. Dank and Juicy! Brewed in collaboration with Arcade Super Awesome. Show Less"
All My Friends Are Dead,4.234090909090909,75,Stout,Hoof Hearted Brewing,13.5,0,"Double-mashed Imperial Stout conditioned on an absurd amount of roasted hazelnut, vanilla, Hoof coffee, and a touch of milk sugar. Show Less"
Cowboy Konkey Dong,4.228947368421053,39,IPA,Hoof Hearted Brewing,8.0,0,"Cowboy Konkey Dong is one fussed up version of the original. Sitting high in the saddle at 8% ABV and hopped with Motueka, Dr. Rudi, and Nelson Sauvin all from New Zealand along with some Mosaics and a heapin helping of Amarillo for that authentic Texas flavor. Show Less"
"Truculent W/Cucumber, Lime, & Habanero",4.2272727272727275,23,Sour,Pretentious Barrel House,5.3,0,A habanero take on our Truculent W/Cucumber & Lime.
Zipper Ripper,4.225862068965517,29,IPA,Hoof Hearted Brewing,8.5,0,Double IPA with Amish Honey
Crumble,4.225,19,Specialty Grain,2 Tones Brewing Company,5.75,11,"Our vanilla ale will remind you of grandma's sugar cookies, vanilla wafers, cream soda... you be the judge. *Contains Lactose* Show Less"
1-800- DoubleDouble-XtraXtra-FrootieFrootie-BiggieBiggie-JuicyJuicy (2022),4.2225,40,IPA,Hoof Hearted Brewing,10.0,0,"Bodaciously slathered with Cashmere, Citra, Riwaka and Motueka hops"
Mexican Hot Chocolate,4.2178571428571425,15,Stout,Parsons North Brewing Company,10.5,10,"Warm, Chocolatey, and Spiced. This Kinetic spiced barrel aged imperial stout is infused with toasted ancho chilies and cinnamon sticks, Mexican vanilla beans, and cacao nibs! Show Less"
Dire Wolf Coffee Joy,4.212,25,Stout,Wolf's Ridge Brewing,10.8,50,"Dire Wolf infused with toasted coconut, cacao, vanilla and One Line Coffee."
1-800-DoubleDouble-XtraXtra-FrootieFrootie-BiggieBiggie-JuicyJuicy,4.210282258064517,257,IPA,Hoof Hearted Brewing,10.0,0,"A mouthful of a triple IPA. Brewed with Cashmere, Citra, Mosaic, New Zealand Waimea and Motueka hops. Show Less"
Crumble Vanilla Ale,4.205,21,Cream Ale,2 Tones Brewing Company,5.8,0,"Creamy, Vanilla, Sugar cookie"
What's His Nuts?,4.204545454545454,22,Stout,Saucy Brew Works,7.5,0,"Super smooth and rich, jet black and bursting with flavors of
vanilla, peanut butter and Saucy’s House Roast Honduran Coffee Show Less"
Bodhi,4.19391592920354,471,IPA,Columbus Brewing Company,8.3,80,Award-winning double IPA featuring Citra® hops with a pale golden color.
Bourbon Barrel Ladies Who Brunch,4.193181818181818,22,Stout,Wolf's Ridge Brewing,10.0,40,"Bourbon Barrel Imperial Breakfast Stout. Brewed with lactose and maple syrup, aged in Watershed Bourbon barrels 1 year. Conditioned on coconut, vanilla, cacao, orange peel, coffee, and cinnamon. Show Less"
Creeper,4.192105263157894,59,IPA,Columbus Brewing Company,10.0,100,"Our Gold medal winning Imperial IPA, brewed with Mosaic, Citra®, and Idaho 7."
Tailpipin’ (Dual Exhaust),4.188095238095238,43,IPA,Hoof Hearted Brewing,9.7,0,"Triple IPA with Sauvignon Blanc, Viognier, & French Colombard Juice Added"
Paint Me Like One of Your French Bread Pizzas,4.1875,17,IPA,Hoof Hearted Brewing,10.0,0,Triple IPA w/ Phantasm Powder
“Pils” Pilsner,4.184210526315789,20,Pilsner,Hofbrauhaus Columbus Brewery & Restaurant,5.0,0,
Exultation,4.184,54,Sour,Pretentious Barrel House,5.2,0,A blend of red and blonde sour ales aged on black currants and pomegranates. These subtle fruits give a complex flavor this is both familiar and obscure without being overbearingly sweet. The beer is dry and refreshing with an assertive acidity. Show Less
"Who’d Like To Hold My Clipboard? (Mango, Peach",4.180555555555555,18,IPA,Hoof Hearted Brewing,9.0,0,
South of Eleven,4.167905405405405,151,IPA,Hoof Hearted Brewing,10.2,98,Pass the crumpets old boy and slather them in the finest tangerine marmalade. Sticky weed Jeeves! Show Less
Why Can't This Be Doug?,4.1382352941176475,90,Stout,Hoof Hearted Brewing,13.5,0,"Double Mashed Imperial Stout with Hazelnuts, Maple Syrup, Cacao Nibs, and Vanilla"
"If You Can't Be Good, Be Bald",4.138,132,IPA,Hoof Hearted Brewing,8.5,0,A double IPA that’s headed over the top rope to land a Doomsday Device on your tastebuds. Show Less
Fitness Freak,4.134246575342466,79,Stout,Hoof Hearted Brewing,14.0,0,"Vanilla, Maple, and Sumatran Hoof Hearted Coffee."
Indolence,4.133333333333334,16,Sour,Pretentious Barrel House,5.0,0,"The passion fruit aroma is very apprrent. The dichotomy of sweet and sour unite to create something unlike any beer we have ever tried. The balance of lactose, vanilla, passion fruit and hops impart a flavor that is truly greater than the sum of its parts. Show Less"
Did We Just Become Best Fwendz? (Nectaron & El Dorado),4.132692307692308,27,IPA,Hoof Hearted Brewing,8.0,0,DIPA with Nectaron and El Dorado hops
Barrel Aged Walnut Brown,4.125,20,Brown Ale,Goodwood Brewing,6.5,0,
Silk Road,4.125,16,Sour,Columbus Brewing Company,6.2,0,"Aged in oak wine barrels on lemon peel and ginger. Notes of lemon, oak, ginger and subtle funk. Show Less"
"Don't Microwave It, Don't Boil It (w/ Raspberry)",4.12109375,70,IPA,Hoof Hearted Brewing,6.0,0,"Sour IPA with Raspberry, Lime Zest, Tahitian Vanilla and Milk Sugar. Collaboration with DSSØLVR in Ashville, NC. Show Less"
Most People Can’t Handle The High Bass,4.115,31,IPA,Hoof Hearted Brewing,10.0,0,Triple IPA made with El Dorado and Bru-1 hops.
"Truculent W/Cucumber, Lime, & Mint",4.113636363636363,23,Sour,Pretentious Barrel House,5.3,0,A minty take on our Truculent W/Cucumber & Lime
Combustion IPA,4.1125,21,IPA,Combustion Brewery & Taproom,6.5,65,"Tropical fruit, lemon, highly drinkable"
$60 Nachos 2022,4.111111111111111,18,IPA,Hoof Hearted Brewing,0.0,0,
Murmuration Barrel-Aged Imperial Cherry Vanilla Stout,4.10625,18,Stout,Seventh Son Brewing Company,12.4,0,
Murmuration,4.1,24,Stout,Seventh Son Brewing Company,14.52,0,"A blended barrel-aged imperial stout to showcase beer aged in spirit barrels including bourbon, rum, rye, and others. ⁣
⁣⁣
Murmuration was named after the hypnotic flying patterns created by Starlings.

1/10/20 Batch 1: 60% Bourbon Barrels, 20% Rye Barrels, 10% Rum Barrels, 10% Nocino Barrels
6/4/20 Batch 2: 90% Bourbon Barrels, 10% Rye Barrels, Cacao Nibs
1/21/21 Batch 3: 75% Rum Barrels, 19% Rye Barrels, 6% fresh Oubliette
Batch 4: habanero, cacao, cinnamon
Batch 5: the minty one. Show Less"
Snoochie Boochies,4.091666666666667,33,IPA,Forbidden Root Brewing Company,8.0,0,NE DIPA DDH with Citra & Mosaic
Mirror Dimensions,4.089473684210526,21,IPA,Derive Brewing Company,10.5,0,Derive and wolfsridge collab
"Don't Microwave It Don't Boil It (w/ Raspberry, Lime Zest, Vanilla, And Milk Sugar",4.085,31,IPA,Hoof Hearted Brewing,6.0,0,
Yakima Fresh,4.083644859813084,114,IPA,Columbus Brewing Company,7.5,70,"Our annual wet-hopped American IPA features hops that were shipped directly from the farm to our brewery and used within 24 hours after being picked in the field. This year’s batch was brewed with fresh Mosaic® hops Wyckoff Farms in Grandview, Washington Show Less"
POG Double Ache,4.08,27,Sour,Heart State Brewing,7.8,0,
Quit Your Fussin’ On Me,4.078947368421052,20,IPA,Hoof Hearted Brewing,9.0,0,"Sour DIPA with Raspberry, BlackBerry, Boysenberry, Vanilla and Milk sugar."
Who'd Like To Hold My Clipboard?,4.078260869565217,121,IPA,Hoof Hearted Brewing,9.0,0,"Double IPA brewed w/ our bois from Burial Brewing. Frappe Style DIPA with Tamarind, Vanilla, and Lactose. Show Less"
And That's When I Knew,4.078125,17,IPA,Hoof Hearted Brewing,10.7,0,"Triple IPA w/ four New Zealand hops: Nelson Sauvin, Riwaka, Rakau, and Kohatu - 10.7% ABV Show Less"
Lady Peiskos,4.075806451612903,32,IPA,Combustion Brewery & Taproom,6.3,65,International Women's Day collaborarion brew
Numb Nuts,4.068181818181818,24,Stout,Saucy Brew Works,10.1,0,"Massively creamy stout with our
house-medium roast Honduran coffee, milk sugar, and vanilla beans. Show Less"
New England IPA,4.066666666666666,29,IPA,Parsons North Brewing Company,7.2,20,"Hazy, Juicy and Smooth. Our New England IPA brings flavors of citrus, mango and papaya from intense dry-hopping. Although big and bold, this is a very Chill beer for Chill folks who love to Chill. Show Less"
Mango Lassi Sour,4.066666666666666,18,Sour,Land-Grant Brewing Company,4.0,0,
Zipper Ripper: Honey Combover,4.066,26,IPA,Hoof Hearted Brewing,10.0,0,Triple Dry-Hopped Triple IPA with 2x Amish Wildflower Honey Added
Insane Wanderer Vol 1,4.0625,16,IPA,Columbus Brewing Company,7.4,75,
Tickling the Ivories,4.059722222222223,37,IPA,Hoof Hearted Brewing,7.2,0,"Tickling the Ivories - “Totally dusted,” started Pablo Cruz. “And I can truly say I’ve never felt better. Posers often overcomplicate it, but I’ve found all truths associated with the act are easily encapsulated in a few words. Skiing is a dance, and the mountain always leads.” Re-tune that Keytar boiz. We’re bustin Rig out of Ski Jail! Citra, Calypso, and Comet carve a trail full o’ tropics complimented in full by a dual-duty hazemaker. Is it juice? From concentrate? What’d you say the name of that was again? Show Less"
Sybarite W/ Cherries,4.052222222222222,49,Sour,Pretentious Barrel House,5.9,0,Our sour red ale aged on several hundred pounds of red tart cherries. The cherry aroma is reminiscent of a fresh slice of pie. The oak tannin and assertive acidity give this beer a nice dry finish. Show Less
Cuvée De Josh,4.05,20,Sour,Pretentious Barrel House,5.9,0,This beer represents the culmination of our craft; the best our cellar has to offer. We selected one barrel from each of our three recipes and blended them together. The resulting beer is a beautiful combination of brettanomyces and oak. Josh loves this beer (hence why his name is on it). Show Less
Clockwork Vista,4.049180327868853,68,IPA,Derive Brewing Company,7.0,0,"BREWED AND DOUBLE DRY HOPPED WITH VISTA, MICHIGAN BERGAMOT AND NZ RAKAU."
Insane Wanderer Vol. 2 Hazy,4.040123456790123,87,IPA,Columbus Brewing Company,7.4,0,"The newest installment in the series features Cashmere hops from Top Hops in Goodrich, Michigan with intense notes of ripe stone fruit. Brewed with a New England yeast strain for a soft haze and mouthfeel. Show Less"
Truculent W/ Cucumber & Lime,4.038461538461538,26,Sour,Pretentious Barrel House,5.7,0,"When we set out to make this “summer beer,” we envisioned a hard seltzer, except much better. Crisp and refreshing with a hint of fruit but not overwhelming (yes, cucumber is a fruit, we will debate you on this, and we will win). We added both lime juice and zest to enhance
the flavor and aroma. The resulting beverage has a fruity, almost melon-like quality, with an unmistakable cucumber finish. Show Less"
$60 Nachos,4.035893854748603,388,IPA,Hoof Hearted Brewing,8.0,0,"$60 Nachos? That’s what happens when you let dad outta the house!

Wanna drink some ice cold beer? Wayyyyelll Imma letcha! Prime that cheddar-cheese pump w/ the gooiest Citra, Simcoe, & El Dorado. Does it smell? NO! It stank! Plus – it itch. *SNORT* Show Less"
I Must Look Like A Dork,4.035714285714286,22,IPA,Hoof Hearted Brewing,8.6,0,"Packed with enough lupulin dust to go straight through the floorboard of yr Econoline, this DIPA is jammin at rates eclipsing 51-50. HHB sognature strain, delivered with God-given accuracy, measuring un-told prophecy. What? Are you all a bunch of corn dogs? We didn't think so.. so dig this big crux! Show Less"
Oubliette,4.034722222222222,38,Stout,Seventh Son Brewing Company,12.0,99,"Oubliette (\ˌü-blē-ˈet\) is a French term for a deep, dark forgotten dungeon devoid of light and hope. Our nearly opaque Imperial Stout is black as night with hints of plum at the edges and a rich tan head. Dark cocoa and roasted malt flavors are complimented by a lingering bitterness and a pleasingly warm alcohol glow. Show Less"
Mirror Dimension,4.027777777777778,103,IPA,Wolf's Ridge Brewing,10.6,30,
Insane Wanderer - Vol 2,4.019473684210527,101,IPA,Columbus Brewing Company,7.4,0,"Vol 2 bursts with aromas and flavors of ripe orchard fruit, mango, and passionfruit. Midwest grown Cashmere hops are highlighted, joined by Citra and Mosaic. Show Less"
Irish Maidin Coffee Porter,4.017857142857143,15,Porter,2 Tones Brewing Company,6.5,25,"Our coffee porter starts with a base beer that’s smooth and roasty, with notes of cocoa, coffee, and dark fruits. Locally roasted coffee beans from Upper-Cup in Olde Towne East were added to create a well-balanced ale that will have both coffee and beer lovers buzzing! *Contains Lactose* Show Less"
Dub Jam - Pain Killer,4.017857142857143,15,Sour,Saucy Brew Works,8.0,0,"Straight from the tiki bar. A careful blend of young coconut, ripe pineapple, orange zest, nutmeg, and dark rum on top of our Lachancea Tart base. Show Less"
Uncle Joe's Irish Red Ale,4.013888888888889,21,Red Ale,2 Tones Brewing Company,6.0,18,"A well balanced Irish Red with notes of toffee, dark fruits, and a touch of roast. Juniper berries add a unique twist to this classic style ale. Show Less"
Crumblin’ ERB,4.007142857142857,45,IPA,Seventh Son Brewing Company,8.25,0,
Ghost Tropic,4.004032258064516,133,IPA,Forbidden Root Brewing Company,8.0,0,"NE style double IPA. Juicy body, waves of pineapple, canned peach finish."
Stinks Güd,4.003658536585366,45,IPA,Saucy Brew Works,10.5,0,"Hugely citrus and mango forward, super hazy with a smooth mouthfeel and massive hop finish.
*contains wheat Show Less"
Hops Is Real,4.003430353430353,516,IPA,Columbus Brewing Company,8.3,0,An Ohio-made collaboration with Rhinegeist Brewery. Brewed with Nelson Sauvin and Mosaic Spectrum hops. Pours a deep golden hue with notes of tropical fruit and ripe stone fruit and a soft mouthfeel. Show Less
Simple Times Blackberry Shandy,4.0,17,Shandy / Radler,North High Brewing,4.9,16,An infusion of organic blackberry juice locally handmade by Simple Times will instantly transport you to your favorite porch swing. Show Less
Space Punch,4.0,22,IPA,2 Tones Brewing Company,9.0,40,"A super smooth double IPA, bursting with tropical fruit and citrus juice flavors. Brewed in the New England style. *Contains Lactose* Show Less"
Double Passionfruit Ache,4.0,27,Sour,Heart State Brewing,7.8,0,"Pillow-like vanilla and sour passionfruit!
Double Passionfruit Ache
Sour ale brewef with passionfruit and vanilla Show Less"
Cake In the Mash Tun,3.9972972972972975,39,Stout,Saucy Brew Works,9.5,0,"Our house white stout dialed all the way up and given a special cake treatment for an insanely decadent, red velvet inspired stout. Show Less"
East Coast IPA,3.99625,45,IPA,Parsons North Brewing Company,7.2,87,"Tropical, Juicy, and Smooth. This Playful take on the predecessors to the New England IPA style is easily crushable. Show Less"
Wilson,3.9952380952380957,89,IPA,Columbus Brewing Company,8.5,0,"Brewed for Buckeye Beer Engine (Lakewood, OH), this Double IPA features Chinook, Sabro, Citra, Talus, and Mosaic. Show Less"
Double Guava Ache,3.9918918918918918,41,Sour,Heart State Brewing,7.8,0,
Discount Nachos,3.9892617449664427,157,IPA,Hoof Hearted Brewing,7.3,0,"7.3%. DDH IPA with El Dorado, Bru-1, Citra, Strata hops."
That's What Happens When You Put Ketchup On A Hot Dog,3.9843137254901957,54,Sour,Hoof Hearted Brewing,7.0,0,"Gose-style ale brewed with Raspberry, Passion Fruit, Lime, Coriander and Pinot Noir Salt Show Less"
Wait Till Mom Finds Out,3.9833333333333334,16,Sour,2 Tones Brewing Company,4.3,0,
Slipped My Rind,3.9833333333333334,35,Sour,Crooked Can Ohio,4.5,5,"Tart ale brewed with coriander, sea salt, and watermelon puree."
WHERE THE SPIRT GOSE,3.98,27,Sour,Holy Trinity Brewing Co,5.4,0,"Sometimes in the world of beer and faith, another force leads the way and in this case where the Spirt went was into the tart and salty world of the Gose. With some passion fruit to lead the way the Spirit tugged, pulled, pushed and eventually the brewer followed into the nice and light summer style. This is a limited release as the Spirit didn't get a full batch to play with so enjoy it while it is here with us. Show Less"
Beautiful Harmony,3.9793103448275864,30,Mild,Taft's Brewing Company,4.6,20,"Aged on Deeper Roots’ flagship La Armonia Hermosa, this Dark Mild brings balanced flavors of dark fruit and chocolate from the coffee along with bready, nutty, and toffee notes from the English Malts. Show Less"
Are We Having Fun Yet?,3.978125,17,Pale Ale,Hoof Hearted Brewing,6.0,55,"A light and crushy crushy pale for those who are lookin to party down. Hopped with Falconers Flight and Australian Galaxy, we're showcasing our new favorite yeast strain formerly classified as a type of Brettanomyces. Since reclassified as a strain of Saccharomyces, it lends tropical fruit characteristics of mango and pineapple. ""You're not even a troll bro, you're just a haircut."" Show Less"
Friends UP North (FUN),3.9778846153846152,55,IPA,Derive Brewing Company,8.5,35,"?NEW BEER ALERT ?

Today we would like to introduce the continuation of our regionally focused DDH New England IPA series. FRIENDS UP NORTH!

Friends Up North is an 8.5% ABV DDH New England DIPA brewed with a base of pilsner malts, torrified wheat, flaked white wheat and spelt. Extremely soft in the mouthfeelz! Hopped in the kettle and double dry hopped with new proprietary hops grown in Michigan. Hydra, Emerald Spire, and Paradigm from @hangemhighhops and Neo from Top Hops! These hops are some of the most unique and complex hops we've ever encountered. We taste strawberry Creamsicle, Virgin Mojitos on the beach and extremely ripe white peach. Show Less"
Do You Remember Your Last Good Hair Day?,3.975,128,Sour,Hoof Hearted Brewing,5.5,46,"Dessert Berliner Weisse style ale Dry Hopped with Citra and brewed with lemon, marshmallow, vanilla and milk sugar. Show Less"
About A Month IPA,3.9743589743589745,39,IPA,2 Tones Brewing Company,6.3,25,"This hazy IPA was brewed to have low bitterness and huge hop character. The citra and mosaic hop bill creates a beer with unique hop juiciness and strong, pleasant hop aromatics. Show Less"
Pineapple Vanilla Friends Out West,3.9728395061728397,86,IPA,Derive Brewing Company,7.5,0,"Pineapple vanilla Friends Out West (7.5%) is a Double Dry-hopped New England IPA brewed with a base of pilsner malts and a copious amounts of malted spelt and flaked oats. We then hopped with beer with tons of our favorite dank and sticky varieties from our Friends Out West, Simcoe, El Dorado, Mosaic and the most aromatic Citra we could find. We then double dry-hopped this beer with the aforementioned hops at a dangerous level of 6 lbs per barrel.after that we add a ton of pineapple purée and Tahitian vanilla bean. We get, orange zest, orange julius, dank pineapple Sunday smoothies and pithy grapefruit scoops. Show Less"
Make Mine Irish,3.96875,20,Stout,Land-Grant Brewing Company,8.4,33,"Sometimes a well brewed cup of coffee isn’t quite enough on its own. Sometimes a well brewed glass of beer needs a little something extra to push it over the top. Both benefit from a warming dose of whiskey. For that reason we brewed this hearty Irish Coffee Stout with Stauf’s whiskey-barrel-aged coffee beans, creating a compound of smooth chocolaty stout, roasted coffee, and rich, smoky whiskey. So when you’re craving a beer, a coffee, or a whiskey, might as well make yours Irish. Show Less"
5Q,3.9680851063829787,52,IPA,Land-Grant Brewing Company,8.0,0,"Happy 50th, Q! This one’s for you! This Double Dry-Hopped IPA packs a milestone-worthy punch. Citra, Idaho-7, Mosaic, and Columbus hops deliver tangerine, Blueberry, Spicy Resinous Pine, and Stone Fruit flavor and aromatics. Cheers! Show Less"
Foxbia,3.967283950617284,85,Stout,Saucy Brew Works,9.5,0,"This Imperial White Pastry Stout is Fauxbia's bigger brother, loaded with all the flavors of a rich, dark stout, and plenty of booze. Show Less"
Beware the Friendly Dragon,3.9651162790697674,46,IPA,North High Brewing,8.0,0,Hazy DIPA
It's Pouring Again,3.9606060606060605,36,IPA,Land-Grant Brewing Company,6.8,0,"We often get asked... ""What does IPA stand for?"" Well, in the Midwest in spring it might as well mean ""It's Pouring Again."" Don't fret through, when the rain spatters the window, there's no better companion than a juicy, tropical India Pale Ale to remind you of sunnier days ahead. This one here features Simcoe, Columbus, Sabra, and Amarillo hops for resinous Mango, grapefruit, stone fruit, and coconut flavor. Grab a six pack and your umbrella, spring is here. Show Less"
Double Throb,3.9578947368421056,21,IPA,Heart State Brewing,8.8,0,"Double IPA. Bitter, hoppy, clean and juicy. Amarillo, Columbus, and Simcoe hops."
Syzygy,3.9575757575757575,71,IPA,Seventh Son Brewing Company,10.0,100,"Syzygy (\ˈsi-zə-jē\) Citra, Simcoe, Cascade hops. Rye malt and flaked Rye. Tasting notes: Sweet pine, tropical fruits, mandarin orange, intense dry bitter finish. Name is a term for many things, most notibly a celestial alignment, like an eclipse. Hard to say. Show Less"
Clockwork Universe,3.9552325581395347,90,IPA,Columbus Brewing Company,6.7,0,"Featuring Simcoe®, Citra® and Idaho7TM hops. Notes of mango, stone fruit, citrus and berries. Show Less"
Club Paradise (Rum Runner),3.9543478260869565,24,Sour,Hoof Hearted Brewing,8.0,0,"Tiki Sour with Lime, Pineapple, Blood Orange and Blackberry"
Don’t Staple the Tape,3.9537037037037037,29,IPA,Seventh Son Brewing Company,7.5,0,
Did We Just Become Best Fwendz?,3.950892857142857,58,IPA,Hoof Hearted Brewing,8.0,70,Rotating dual hop series.
Proliferous,3.9457831325301207,92,IPA,Seventh Son Brewing Company,8.2,85,Mosaic and a cast of supporting hops give this DIPA layers of tropical fruit and citrus with a bracing pine bitterness in the finish. Show Less
Thirst Trap,3.9444444444444446,41,IPA,Saucy Brew Works,8.9,0,"Super smooth and deceptively strong Imperial Hazy IPA with notes of honeydew, mango, tangerine and apricot. Show Less"
Topanga- Raspberry Cheesecake Sour,3.9431818181818183,23,Sour,Derive Brewing Company,5.4,14,Another sour from our Topanga series. We fruited it with 44 lbs of Raspberry’s per bbl along with 12 lbs of my style vanilla cheesecake powder. This is a real nice sour with a sweet dessert kick. Show Less
Traveling Circus,3.9426470588235296,36,IPA,Derive Brewing Company,7.2,0,"In collaboration with lock 27 of Dayton. DDH hazy IPA and double dry hopped with Citra, Ekaunot and HBC 586. Fermented with omega cosmic punch Show Less"
Bluegrass Burro,3.940740740740741,27,Sour,Pretentious Barrel House,9.2,0,A collaboration with our friends at Ethereal Brewing in Lexington Kentucky. We wanted to do a play on a Kentucky Mule so we made a special blend of fourteen month sour blonde. We transferred this blend to fresh Four Roses barrels for three months. Finished it with a little ginger and lime. We are glad we wrapped up this project just in time for Keeneland. Show Less
Roller Blabe,3.9375,21,IPA,Hoof Hearted Brewing,8.0,103,"Slurp up the neon! One sniff and you'll be painted in animal print spandex and sporting a side pony tail and that's just the guys. Ready yourself for the taste of your fanny pack getting sucked into the tape deck. Bodaciously dry-hopped with the Dank n' Fruity combo of Mosiac, Simcoe, and Galaxy hops. Brewed under the watchful eye of AC Slater and Lisa Turtle, I mean John & Cindy from The Daily Growler. Show Less"
From the Heart Volume 2,3.935185185185185,30,IPA,Land-Grant Brewing Company,8.8,0,"Hazy IPA brewed with Mosaic, Cashmere, and Citra hops."
Falutin’,3.9325,21,IPA,North High Brewing,6.0,0,
Orange Is Sus,3.932191780821918,76,IPA,Crooked Can Ohio,6.0,31,Milkshake IPA with Orange and Vanilla.
Del Boca Vista,3.9285714285714284,42,Cream Ale,Land-Grant Brewing Company,5.3,0,"You're gonna be in the pool, you're gonna be in the clubhouse, and you're gonna be all over that shuffleboard court. You're going to need a rich, refreshing beverage to make the most of your time in the sun. Del Boca Vista is a Cream Ale brewed with coconut and whole vanilla bean. It'll have you headed to Florida in your mind, lock stock and barrel. Show Less"
Tropical Hazy,3.9210526315789473,43,IPA,Zaftig Brewing Co.,6.0,0,"Hazy pale ale infused with passion fruit, orange, and guava."
Breadbasket,3.9207317073170733,43,Golden Ale,Forbidden Root Brewing Company,7.2,100,
Steel Toe Aqua Socks,3.9181818181818184,36,IPA,Hoof Hearted Brewing,7.5,0,"IPA w/ Citra, Sabro and Mosaic hops - 7.5% ABV"
Thyme Signature,3.9166666666666665,42,IPA,Forbidden Root Brewing Company,8.2,0,Our First Botanical! A similar base of Ghost Tropic Dry hopped with Citra and Triumph! Than additions of Thyme and Orange Peel in the brite tank. Very excited to share this with everyone! Show Less
Wee Heavy,3.9107142857142856,15,Scotch Ale / Wee Heavy,Zaftig Brewing Co.,10.0,43,"Our Scotch Ale is a beauty to behold featuring toffee, caramel, and dark fruit notes balanced with grassy, floral British hops. This brew is also quite well suited for gathering some age in a cellar and pairs well with smoked salmon, venison sausages, haggis, sticky toffee pudding, and
smoked Gouda. Show Less"
Buchenrauch,3.9107142857142856,15,Rauchbier,Wolf's Ridge Brewing,5.7,20,"2020: Bronze - Great American Beer Festival, Smoke Beer Category

2021: Silver - US Open Beer Competition

This traditional smoked lager style hails from Bamberg Germany. The name literally means ""beech smoke,"" which pays homage to the time honored tradition of smoking the malt over beech wood to create the signature smooth smokiness. Mahogany in color and rich in flavors of campfire smoke and crusty bread. Buchenrauch is crisp and savory. The lager yeast and cold aging provide smooth drinkability and will leave you wanting more than just one. Show Less"
